county14,cntyname2,intptlon,intptlat
13051,Chatham GA,-81.126468,32.036008
13053,Chattahoochee GA,-84.899283,32.344232
13055,Chattooga GA,-85.344154,34.49551
13057,Cherokee GA,-84.49657,34.169607
13059,Clarke GA,-83.380868,33.950407
13061,Clay GA,-85.013398,31.633549
13063,Clayton GA,-84.362237,33.553384
13065,Clinch GA,-82.740974,31.017888
13067,Cobb GA,-84.557875,33.943255
13069,Coffee GA,-82.840675,31.516
13071,Colquitt GA,-83.768671,31.180956
13073,Columbia GA,-82.165643,33.51622
13075,Cook GA,-83.424508,31.149848
13077,Coweta GA,-84.736404,33.379118
13079,Crawford GA,-83.934008,32.707681
13081,Crisp GA,-83.777788,31.947963
13083,Dade GA,-85.496987,34.882709
13085,Dawson GA,-84.104156,34.401381
13087,Decatur GA,-84.570361,30.888346
13089,DeKalb GA,-84.248054,33.789813
13091,Dodge GA,-83.175608,32.212815
13093,Dooly GA,-83.784172,32.16758
13095,Dougherty GA,-84.167632,31.573426
13097,Douglas GA,-84.734626,33.724924
13099,Early GA,-84.916703,31.331727
13101,Echols GA,-83.057978,30.70863
13103,Effingham GA,-81.299512,32.291745
13105,Elbert GA,-82.879554,34.126521
13107,Emanuel GA,-82.307949,32.585861
13109,Evans GA,-81.907367,32.16965
13111,Fannin GA,-84.313423,34.901383
13113,Fayette GA,-84.512412,33.427942
13115,Floyd GA,-85.183155,34.255797
13117,Forsyth GA,-84.144303,34.194921
13119,Franklin GA,-83.186065,34.377336
13121,Fulton GA,-84.393482,33.836087
13123,Gilmer GA,-84.483643,34.67725
13125,Glascock GA,-82.609839,33.235927
13127,Glynn GA,-81.486494,31.202699
13129,Gordon GA,-84.908795,34.498327
13131,Grady GA,-84.214279,30.882765
13133,Greene GA,-83.166084,33.549876
13135,Gwinnett GA,-84.057945,33.951957
13137,Habersham GA,-83.541609,34.56516
13139,Hall GA,-83.844688,34.275206
13141,Hancock GA,-83.002018,33.255826
13143,Haralson GA,-85.185466,33.76192
13145,Harris GA,-84.895046,32.699934
13147,Hart GA,-82.964949,34.355413
13149,Heard GA,-85.113414,33.309334
13151,Henry GA,-84.175437,33.475842
13153,Houston GA,-83.663346,32.571603
13155,Irwin GA,-83.28085,31.604647
13157,Jackson GA,-83.584799,34.132059
13159,Jasper GA,-83.724354,33.356252
13161,Jeff Davis GA,-82.600678,31.848777
13163,Jefferson GA,-82.407645,33.063552
13165,Jenkins GA,-81.950116,32.794619
13167,Johnson GA,-82.679555,32.701199
13169,Jones GA,-83.545134,32.962135
13171,Lamar GA,-84.154401,33.08002
13173,Lanier GA,-83.090892,31.035393
13175,Laurens GA,-82.926122,32.516487
13177,Lee GA,-84.173396,31.681195
13179,Liberty GA,-81.578492,31.827767
13181,Lincoln GA,-82.446401,33.781127
13183,Long GA,-81.7337,31.778807
13185,Lowndes GA,-83.280231,30.857006
13187,Lumpkin GA,-83.986876,34.524952
13189,McDuffie GA,-82.469881,33.459617
13191,McIntosh GA,-81.407563,31.47526
13193,Macon GA,-84.038792,32.325042
13195,Madison GA,-83.240681,34.104614
13197,Marion GA,-84.523565,32.380908
13199,Meriwether GA,-84.672884,33.008864
13201,Miller GA,-84.737197,31.159722
13205,Mitchell GA,-84.172071,31.216853
13207,Monroe GA,-83.906863,33.038194
13209,Montgomery GA,-82.533262,32.167319
13211,Morgan GA,-83.485974,33.600244
13213,Murray GA,-84.792055,34.78233
13215,Muscogee GA,-84.930632,32.492289
13217,Newton GA,-83.896608,33.56952
13219,Oconee GA,-83.457965,33.875278
13221,Oglethorpe GA,-83.144929,33.916595
13223,Paulding GA,-84.816595,33.905688
13225,Peach GA,-83.82955,32.584826
13227,Pickens GA,-84.442313,34.455892
13229,Pierce GA,-82.240413,31.314668
13231,Pike GA,-84.366788,33.103227
13233,Polk GA,-85.176768,34.010879
13235,Pulaski GA,-83.480345,32.275344
13237,Putnam GA,-83.339652,33.317059
13239,Quitman GA,-85.077728,31.859377
13241,Rabun GA,-83.407208,34.87903
13243,Randolph GA,-84.758029,31.760404
13245,Richmond GA,-82.04944,33.42686
13247,Rockdale GA,-84.020889,33.642043
13249,Schley GA,-84.306787,32.241549
13251,Screven GA,-81.627352,32.722843
13253,Seminole GA,-84.868042,30.972496
13255,Spalding GA,-84.273343,33.258051
13257,Stephens GA,-83.288687,34.556904
13259,Stewart GA,-84.76452,32.069336
13261,Sumter GA,-84.22183,32.059981
13263,Talbot GA,-84.582127,32.703125
13265,Taliaferro GA,-82.885756,33.5688
13267,Tattnall GA,-82.052285,32.043908
13269,Taylor GA,-84.215081,32.560542
13271,Telfair GA,-82.892473,32.015621
13273,Terrell GA,-84.428874,31.772157
13275,Thomas GA,-83.948418,30.868962
13277,Tift GA,-83.515046,31.454362
13279,Toombs GA,-82.367026,32.183937
13281,Towns GA,-83.78297,34.938692
13283,Treutlen GA,-82.589712,32.387048
13285,Troup GA,-85.031723,33.036737
13287,Turner GA,-83.636886,31.700824
13289,Twiggs GA,-83.416336,32.703662
13291,Union GA,-84.002303,34.874243
13293,Upson GA,-84.324388,32.907469
13295,Walker GA,-85.293399,34.83654
13297,Walton GA,-83.784276,33.795382
13299,Ware GA,-82.383953,31.22682
13301,Warren GA,-82.662843,33.407596
13303,Washington GA,-82.773411,32.96203
13305,Wayne GA,-81.919108,31.611857
13307,Webster GA,-84.56066,32.049344
13309,Wheeler GA,-82.751304,32.146558
13311,White GA,-83.744307,34.601048
13313,Whitfield GA,-84.965681,34.792742
13315,Wilcox GA,-83.40567,31.975167
13317,Wilkes GA,-82.753524,33.755364
13319,Wilkinson GA,-83.239526,32.8443
13321,Worth GA,-83.861207,31.535713
15001,Hawaii HI,-155.421967,19.672838
15003,Honolulu HI,-157.913704,21.372464
15005,Kalawao HI,-156.979972,21.188495
15007,Kauai HI,-159.442076,22.021022
15009,Maui HI,-156.49388,20.863748
16001,Ada ID,-116.304421,43.611187
16003,Adams ID,-116.375787,44.84862
16005,Bannock ID,-112.423771,42.869212
16007,Bear Lake ID,-111.341634,42.306337
16009,Benewah ID,-116.639788,47.271693
16011,Bingham ID,-112.355402,43.217372
16013,Blaine ID,-114.29444,43.541367
16015,Boise ID,-115.993652,43.899702
16017,Bonner ID,-116.630841,48.23565
16019,Bonneville ID,-111.997629,43.494877
16021,Boundary ID,-116.302819,48.705965
16023,Butte ID,-113.294497,43.699097
16025,Camas ID,-114.756473,43.350524
16027,Canyon ID,-116.627347,43.611439
16029,Caribou ID,-111.656002,42.643778
16031,Cassia ID,-113.741882,42.482791
16033,Clark ID,-112.278567,44.185815
16035,Clearwater ID,-116.185297,46.485241
16037,Custer ID,-114.049285,44.285169
16039,Elmore ID,-115.684462,43.115321
16041,Franklin ID,-111.872196,42.0993
16043,Fremont ID,-111.615214,44.014844
16045,Gem ID,-116.506715,43.884323
16047,Gooding ID,-114.751066,42.852717
16049,Idaho ID,-116.106273,45.974128
16051,Jefferson ID,-111.969554,43.691123
16053,Jerome ID,-114.462756,42.698447
16055,Kootenai ID,-116.832578,47.73713
16057,Latah ID,-116.934415,46.742969
16059,Lemhi ID,-113.861759,45.127413
16061,Lewis ID,-116.257425,46.238066
16063,Lincoln ID,-114.326059,42.973467
16065,Madison ID,-111.79407,43.819114
16067,Minidoka ID,-113.712197,42.613266
16069,Nez Perce ID,-116.950434,46.394127
16071,Oneida ID,-112.301233,42.181568
16073,Owyhee ID,-116.683457,43.376748
16075,Payette ID,-116.89432,44.020334
16077,Power ID,-112.82897,42.775002
16079,Shoshone ID,-116.085963,47.514637
16081,Teton ID,-111.125567,43.692977
16083,Twin Falls ID,-114.504034,42.558564
16085,Valley ID,-116.073788,44.758677
16087,Washington ID,-116.91975,44.297899
17001,Adams IL,-91.328924,39.943826
17003,Alexander IL,-89.289795,37.149251
17005,Bond IL,-89.432813,38.884623
17007,Boone IL,-88.851991,42.293981
17009,Brown IL,-90.746482,39.964816
17011,Bureau IL,-89.423815,41.382965
17013,Calhoun IL,-90.638074,39.123531
17015,Carroll IL,-89.963257,42.07188
17017,Cass IL,-90.31927,39.979866
17019,Champaign IL,-88.23308,40.128074
17021,Christian IL,-89.254709,39.525298
17023,Clark IL,-87.800195,39.351007
17025,Clay IL,-88.49014,38.716133
17027,Clinton IL,-89.472106,38.587754
17029,Coles IL,-88.258258,39.487298
17031,Cook IL,-87.757878,41.865938
17033,Crawford IL,-87.74803,39.005691
17035,Cumberland IL,-88.280917,39.275965
17037,DeKalb IL,-88.729494,41.927173
17039,De Witt IL,-88.9089,40.171701
17041,Douglas IL,-88.279739,39.766826
17043,DuPage IL,-88.071612,41.849815
17045,Edgar IL,-87.715373,39.635942
17047,Edwards IL,-88.04063,38.402493
17049,Effingham IL,-88.576023,39.094724
17051,Fayette IL,-89.033301,38.997829
17053,Ford IL,-88.217455,40.527422
17055,Franklin IL,-88.953324,37.962135
17057,Fulton IL,-90.119235,40.521964
17059,Gallatin IL,-88.238561,37.770001
17061,Greene IL,-90.373467,39.372241
17063,Grundy IL,-88.347432,41.345274
