GEO.id,GEO.id2,GEO.display-label,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD65,VD66,VD67,VD68,VD69,VD70,VD71,VD72,VD73,VD74,VD75,VD77,VD78,VD79,VD80,VD81,VD82,VD83,VD84,VD85,VD86,VD87
1600000US5114968,5114968,"Charlottesville city, Virginia",uSF1,VA,160,00,000,,0163932,3,5,54,51,,,,,,14968,C7,1,16,,,,,,,,,,,,,,,,,1540,18,99,Y,9999,9999,9,00,!,,,,,,,,,,,,,,,,,26579341,0,Charlottesville city,A,Y,45049,17591,+38034506,-078486474,58,,,,,,,,,,,,
1600000US5116000,5116000,"Chesapeake city, Virginia",uSF1,VA,160,00,000,,0163960,3,5,54,51,,,,,,16000,C7,0,18,,,,,,,,,,,,,,,,,5720,21,99,N,9999,9999,9,00,!,,,,,,,,,,,,,,,,,882457445,26367516,Chesapeake city,A,Y,199184,72672,+36767398,-076287405,58,,,,,,,,,,,,
1600000US5117440,5117440,"Clifton Forge city, Virginia",uSF1,VA,160,00,000,,0164049,3,5,54,51,,,,,,17440,C7,0,12,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,!,,,,,,,,,,,,,,,,,8006155,11261,Clifton Forge city,A,Y,4289,2069,+37819801,-079823584,58,,,,,,,,,,,,
1600000US5118448,5118448,"Colonial Heights city, Virginia",uSF1,VA,160,00,000,,0164078,3,5,54,51,,,,,,18448,C7,0,14,,,,,,,,,,,,,,,,,6760,20,99,N,9999,9999,9,00,!,,,,,,,,,,,,,,,,,19361816,802324,Colonial Heights city,A,Y,16897,7340,+37262257,-077402728,58,,,,,,,,,,,,
1600000US5119728,5119728,"Covington city, Virginia",uSF1,VA,160,00,000,,0164091,3,5,54,51,,,,,,19728,C7,0,13,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,!,,,,,,,,,,,,,,,,,14689470,0,Covington city,A,Y,6303,3195,+37786225,-079988817,58,,,,,,,,,,,,
1600000US5121344,5121344,"Danville city, Virginia",uSF1,VA,160,00,000,,0164136,3,5,54,51,,,,,,21344,C7,1,16,,,,,,,,,,,,,,,,,1950,18,99,Y,9999,9999,9,00,!,,,,,,,,,,,,,,,,,111527387,2269642,Danville city,A,Y,48411,23108,+36587238,-079404404,58,,,,,,,,,,,,
1600000US5125808,5125808,"Emporia city, Virginia",uSF1,VA,160,00,000,,0164221,3,5,54,51,,,,,,25808,C7,0,13,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,!,,,,,,,,,,,,,,,,,17852615,191800,Emporia city,A,Y,5665,2412,+36693018,-077538090,58,,,,,,,,,,,,
1600000US5126496,5126496,"Fairfax city, Virginia",uSF1,VA,160,00,000,,0164235,3,5,54,51,,,,,,26496,C7,0,15,,,,,,,,,,,,,,,,,8872,23,97,N,8840,9999,9,00,!,,,,,,,,,,,,,,,,,16343135,0,Fairfax city,A,Y,21498,8204,+38852612,-077304377,58,,,,,,,,,,,,
1600000US5127200,5127200,"Falls Church city, Virginia",uSF1,VA,160,00,000,,0164248,3,5,54,51,,,,,,27200,C7,0,14,,,,,,,,,,,,,,,,,8872,23,97,N,8840,9999,9,00,!,,,,,,,,,,,,,,,,,5143012,0,Falls Church city,A,Y,10377,4725,+38884481,-077176155,58,,,,,,,,,,,,
1600000US5129600,5129600,"Franklin city, Virginia",uSF1,VA,160,00,000,,0164317,3,5,54,51,,,,,,29600,C7,0,13,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,!,,,,,,,,,,,,,,,,,21633451,121516,Franklin city,A,Y,8346,3767,+36674954,-076930799,58,,,,,,,,,,,,
1600000US5129744,5129744,"Fredericksburg city, Virginia",uSF1,VA,160,00,000,,0164321,3,5,54,51,,,,,,29744,C7,1,14,,,,,,,,,,,,,,,,,8872,23,97,Y,8840,9999,9,00,!,,,,,,,,,,,,,,,,,27240815,11569,Fredericksburg city,A,Y,19279,8888,+38301829,-077470778,58,,,,,,,,,,,,
1600000US5130208,5130208,"Galax city, Virginia",uSF1,VA,160,00,000,,0164342,3,5,54,51,,,,,,30208,C7,0,13,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,!,,,,,,,,,,,,,,,,,21311140,0,Galax city,A,Y,6837,3217,+36664675,-080920275,58,,,,,,,,,,,,
1600000US5135000,5135000,"Hampton city, Virginia",uSF1,VA,160,00,000,,0164423,3,5,54,51,,,,,,35000,C7,1,18,,,,,,,,,,,,,,,,,5720,21,99,Y,9999,9999,9,00,!,,,,,,,,,,,,,,,,,134112964,218719814,Hampton city,A,Y,146437,57311,+37034946,-076360126,58,,,,,,,,,,,,
1600000US5135624,5135624,"Harrisonburg city, Virginia",uSF1,VA,160,00,000,,0164457,3,5,54,51,,,,,,35624,C7,0,16,,,,,,,,,,,,,,,,,9999,00,99,9,9999,9999,9,00,!,,,,,,,,,,,,,,,,,45483574,75836,Harrisonburg city,A,Y,40468,13689,+38443279,-078872759,58,,,,,,,,,,,,
