FIPS,corn_bush,corn_usd,cotton_bales,cotton_usd
21133,NA,NA,,
21135,187050,927000,,
21137,633576,5178000,,
21139,491178,4882000,,
21141,4640528,41565000,,
21143,191919,NA,,
21145,644511,6508000,,
21149,4236049,24409000,,
21151,146083,1387000,,
21153,6798,NA,,
21155,809143,8138000,,
21157,615925,3890000,,
21161,610947,4506000,,
21163,974855,9574000,,
21165,36500,22000,,
21167,174997,3344000,,
21169,172462,3012000,,
21171,323338,5181000,,
21173,244381,1117000,,
21175,41194,NA,,
21177,1138516,7789000,,
21179,1533586,15643000,,
21181,84967,1060000,,
21183,2947317,16821000,,
21185,275550,1247000,,
21187,110575,658000,,
21189,12299,46000,,
21191,130454,121000,,
21193,3425,NA,,
21195,8200,NA,,
21197,47294,679000,,
21199,1167179,6375000,,
21201,59520,NA,,
21203,278474,622000,,
21205,89525,NA,,
21207,146427,1397000,,
21209,197528,3263000,,
21211,2376594,12018000,,
21213,1784297,21629000,,
21215,338881,NA,,
21217,558589,8072000,,
21219,3843750,29066000,,
21221,1561101,15082000,,
21223,99878,NA,,
21225,7427713,54570000,,
21227,2506122,24250000,,
21229,345515,2239000,,
21231,506152,3063000,,
21233,3040556,25250000,,
21235,54637,545000,,
21237,20556,26000,,
21239,218194,1297000,,
22003,NA,NA,,
22009,1518450,11179000,7194,2408000
22011,164300,877000,,
22015,539087,919000,6194,2027000
22017,3139308,13528000,37525,12804000
22019,,429000,,
22021,440196,3293000,3662,1159000
22025,3406636,17727000,38887,12274000
22027,36440,676000,,
22029,4466986,11010000,30437,10094000
22031,NA,NA,NA,NA
22033,9170,NA,,
22035,11306826,26753000,23673,7476000
22037,88500,NA,,
22039,169587,NA,,
22041,11521725,51557000,18127,5849000
22043,105528,NA,6998,1910000
22045,,NA,,
22047,,NA,,
22053,,NA,,
22055,NA,383000,,
22063,,NA,,
22065,12794967,33475000,43202,13856000
22067,14110714,45888000,29153,10021000
22069,1704471,NA,8900,2997000
22073,952177,9696000,9876,3314000
22077,1847357,6664000,2267,754000
22079,1537344,6619000,13790,4405000
22081,612400,NA,NA,NA
22083,8405590,23742000,48812,15978000
22085,,NA,,
22091,,NA,,
22097,1162515,6062000,NA,NA
22099,NA,NA,,
22105,,301000,,
22107,7407193,27722000,80898,25625000
22115,NA,NA,,
22117,33531,NA,,
22121,,NA,,
22123,3685157,20744000,2520,810000
22125,640000,NA,NA,NA
23001,NA,1085000,,
23003,40728,635000,,
23005,NA,NA,,
23007,NA,NA,,
23009,,NA,,
23011,112467,212000,,
23013,,NA,,
23015,NA,NA,,
23017,NA,NA,,
23019,NA,2689000,,
23021,NA,NA,,
23023,NA,103000,,
23025,113948,645000,,
23027,NA,418000,,
23031,24411,NA,,
24001,66881,430000,,
24003,382992,1722000,,
24005,2411915,12576000,,
24009,499318,1561000,,
24011,3864817,23458000,,
24013,4111535,22043000,,
24015,2157175,10794000,,
24017,468899,2282000,,
24019,3650397,16482000,,
24021,3982802,19651000,,
24023,774297,4507000,,
24025,1855123,11578000,,
24027,948624,3184000,,
24029,4497782,26196000,,
24031,1515708,8001000,,
24033,391324,1856000,,
24035,4891585,37759000,,
24037,532563,4989000,,
24039,1283936,8755000,,
24041,3588039,17382000,,
24043,2502376,12027000,,
24045,2176410,15018000,,
24047,3560469,18595000,,
25003,NA,877000,,
25005,2556,NA,,
25007,NA,NA,,
25009,NA,345000,,
25011,NA,841000,,
25013,NA,268000,,
25015,229266,818000,,
25017,26887,NA,,
25023,908,NA,,
25027,11584,934000,,
26001,274343,1273000,,
26003,NA,51000,,
26005,11400265,42376000,,
26007,557114,1989000,,
26009,303313,881000,,
26011,1902046,8933000,,
26013,2004,230000,,
26015,3655509,20807000,,
26017,9733297,32409000,,
26019,65303,644000,,
26021,6185013,26651000,,
26023,10449642,55109000,,
26025,6305188,33520000,,
26027,13379045,47635000,,
26029,262601,1089000,,
26031,76402,206000,,
26033,NA,NA,,
26035,435810,1400000,,
26037,9107622,28263000,,
26039,2710,NA,,
26041,282164,436000,,
26043,87832,63000,,
26045,7537074,30297000,,
26047,72596,343000,,
